Institute,Branch,Duration (Years),Degree Title,Quota,Seat Type,Gender,Opening Rank,Closing Rank
IIT Jodhpur,Artificial Intelligence and Data Science,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,3049,4212
IIT Jodhpur,Artificial Intelligence and Data Science,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),7277,8705
IIT Jodhpur,Bio Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,13106,15278
IIT Jodhpur,Bio Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),16749,22651
IIT Jodhpur,Chemical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,9595,11626
IIT Jodhpur,Chemical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),18850,19522
IIT Jodhpur,Chemistry with Specialization,4,Bachelor of Science,AI,OPEN,Gender-Neutral,14939,18310
IIT Jodhpur,Chemistry with Specialization,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),25547,26039
IIT Jodhpur,Civil and Infrastructure Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,11662,14301
IIT Jodhpur,Civil and Infrastructure Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),18920,22812
IIT Jodhpur,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,2269,2918
IIT Jodhpur,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),5959,7224
IIT Jodhpur,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,5270,6824
IIT Jodhpur,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),9375,14511
IIT Jodhpur,Electronics Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,4392,6228
IIT Jodhpur,Electronics Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),10250,14160
IIT Jodhpur,Materials Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,11659,15034
IIT Jodhpur,Materials Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),20897,24170
